text,intent
I need a receipt for my recent purchase.,Billing
I was double charged on my last invoice.,Billing
My payment failed but money was taken.,Billing
Why was I billed twice this month?,Billing
Why was I billed twice this month?,Billing
My payment failed but money was taken.,Billing
Why was I billed twice this month?,Billing
I am NOT happy. I need a receipt for my recent purchase.,Billing
Can I get a refund for the extra charge?,Billing
My payment failed but money was taken. Visit http://example.com for details.,Billing
I was double charged on my last invoice.,Billing
I am NOT happy. My payment failed but money was taken.,Billing
I am NOT happy. My payment failed but money was taken.,Billing
<p>Why was I billed twice this month? Visit http://example.com for details.</p>,Billing
Can I get a refund for the extra charge?,Billing
I am NOT happy. I was double charged on my last invoice.,Billing
Why was I billed twice this month? Visit http://example.com for details.,Billing
I am NOT happy. Why was I billed twice this month?,Billing
Can I get a refund for the extra charge? Visit http://example.com for details.,Billing
<p>I am NOT happy. Can I get a refund for the extra charge?</p>,Billing
I was double charged on my last invoice. Visit http://example.com for details.,Billing
<p>Can I get a refund for the extra charge?</p>,Billing
My payment failed but money was taken.,Billing
I am NOT happy. I can't log in even with the right password.,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
Password reset link is not working for me.,Technical Support
<p>The app shows error code 500 when I save.</p>,Technical Support
I get a blank screen after the update.,Technical Support
Password reset link is not working for me.,Technical Support
I get a blank screen after the update.,Technical Support
Password reset link is not working for me.,Technical Support
I get a blank screen after the update.,Technical Support
The app shows error code 500 when I save.,Technical Support
The app shows error code 500 when I save. Visit http://example.com for details.,Technical Support
The app shows error code 500 when I save.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
<p>Password reset link is not working for me.</p>,Technical Support
My application keeps crashing on startup.,Technical Support
I get a blank screen after the update.,Technical Support
I can't log in even with the right password.,Technical Support
I am NOT happy. Password reset link is not working for me.,Technical Support
I get a blank screen after the update. Visit http://example.com for details.,Technical Support
<p>Password reset link is not working for me.</p>,Technical Support
Password reset link is not working for me.,Technical Support
I get a blank screen after the update.,Technical Support
My application keeps crashing on startup.,Technical Support
I get a blank screen after the update.,Technical Support
I can't log in even with the right password.,Technical Support
I get a blank screen after the update.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
The app shows error code 500 when I save.,Technical Support
I get a blank screen after the update.,Technical Support
The app shows error code 500 when I save.,Technical Support
The app shows error code 500 when I save.,Technical Support
I am NOT happy. Password reset link is not working for me.,Technical Support
<p>The app shows error code 500 when I save.</p>,Technical Support
Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
I am NOT happy. Password reset link is not working for me.,Technical Support
I am NOT happy. The app shows error code 500 when I save.,Technical Support
The app shows error code 500 when I save.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
The app shows error code 500 when I save.,Technical Support
I can't log in even with the right password.,Technical Support
I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
I can't log in even with the right password.,Technical Support
<p>I am NOT happy. Password reset link is not working for me.</p>,Technical Support
My application keeps crashing on startup.,Technical Support
I get a blank screen after the update.,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
The app shows error code 500 when I save.,Technical Support
I get a blank screen after the update.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup. !!!,Technical Support
I can't log in even with the right password. Order #12345,Technical Support
Password reset link is not working for me. !!!,Technical Support
The app shows error code 500 when I save.,Technical Support
I get a blank screen after the update.,Technical Support
My application keeps crashing on startup. !!!,Technical Support
The app shows error code 500 when I save.,Technical Support
Password reset link is not working for me.,Technical Support
<p>I can't log in even with the right password.</p>,Technical Support
The app shows error code 500 when I save. Order #12345,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
I get a blank screen after the update. Visit http://example.com for details.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
I can't log in even with the right password.,Technical Support
<p>My application keeps crashing on startup.</p>,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
<p>My application keeps crashing on startup.</p>,Technical Support
My application keeps crashing on startup. Visit http://example.com for details. Order #12345,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
<p>I can't log in even with the right password.</p> Order #12345,Technical Support
I get a blank screen after the update.,Technical Support
I can't log in even with the right password.,Technical Support
My application keeps crashing on startup. Visit http://example.com for details.,Technical Support
My application keeps crashing on startup. Visit http://example.com for details.,Technical Support
I am NOT happy. My application keeps crashing on startup.,Technical Support
I get a blank screen after the update.,Technical Support
<p>I get a blank screen after the update.</p>,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
I get a blank screen after the update.,Technical Support
My application keeps crashing on startup.,Technical Support
I can't log in even with the right password. Visit http://example.com for details.,Technical Support
I am NOT happy. I can't log in even with the right password. Order #12345,Technical Support
I get a blank screen after the update.,Technical Support
My application keeps crashing on startup.,Technical Support
I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
Password reset link is not working for me.,Technical Support
I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
The app shows error code 500 when I save.,Technical Support
<p>My application keeps crashing on startup.</p>,Technical Support
My application keeps crashing on startup. !!!,Technical Support
I get a blank screen after the update. Visit http://example.com for details.,Technical Support
I am NOT happy. Password reset link is not working for me. Order #12345,Technical Support
I get a blank screen after the update. Visit http://example.com for details.,Technical Support
I am NOT happy. I can't log in even with the right password. Visit http://example.com for details.,Technical Support
The app shows error code 500 when I save.,Technical Support
I can't log in even with the right password.,Technical Support
I am NOT happy. My application keeps crashing on startup. !!!,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
My application keeps crashing on startup.,Technical Support
<p>I get a blank screen after the update. Visit http://example.com for details.</p>,Technical Support
I get a blank screen after the update. Order #12345,Technical Support
I can't log in even with the right password.,Technical Support
I can't log in even with the right password.,Technical Support
<p>I can't log in even with the right password.</p>,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
I can't log in even with the right password.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me. Order #12345,Technical Support
My application keeps crashing on startup. Order #12345,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
<p>The app shows error code 500 when I save.</p>,Technical Support
Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
Password reset link is not working for me.,Technical Support
I can't log in even with the right password.,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
Password reset link is not working for me.,Technical Support
Password reset link is not working for me. Visit http://example.com for details.,Technical Support
I get a blank screen after the update. Order #12345,Technical Support
I get a blank screen after the update.,Technical Support
I can't log in even with the right password. Visit http://example.com for details.,Technical Support
<p>The app shows error code 500 when I save.</p>,Technical Support
I get a blank screen after the update.,Technical Support
I get a blank screen after the update.,Technical Support
I am NOT happy. My application keeps crashing on startup.,Technical Support
I can't log in even with the right password.,Technical Support
My application keeps crashing on startup.,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
I get a blank screen after the update.,Technical Support
The app shows error code 500 when I save.,Technical Support
I can't log in even with the right password.,Technical Support
I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
Password reset link is not working for me.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
I can't log in even with the right password.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
My application keeps crashing on startup.,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
I am NOT happy. My application keeps crashing on startup.,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me. Visit http://example.com for details.,Technical Support
Password reset link is not working for me.,Technical Support
Password reset link is not working for me.,Technical Support
I can't log in even with the right password.,Technical Support
<p>My application keeps crashing on startup.</p>,Technical Support
I am NOT happy. Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
<p>The app shows error code 500 when I save.</p>,Technical Support
I can't log in even with the right password. Visit http://example.com for details.,Technical Support
<p>I get a blank screen after the update.</p>,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
<p>I can't log in even with the right password.</p>,Technical Support
I can't log in even with the right password.,Technical Support
Password reset link is not working for me. Visit http://example.com for details.,Technical Support
Password reset link is not working for me.,Technical Support
I can't log in even with the right password.,Technical Support
The app shows error code 500 when I save.,Technical Support
I can't log in even with the right password.,Technical Support
My application keeps crashing on startup.,Technical Support
The app shows error code 500 when I save.,Technical Support
<p>I am NOT happy. I get a blank screen after the update.</p>,Technical Support
I get a blank screen after the update.,Technical Support
I get a blank screen after the update.,Technical Support
I can't log in even with the right password.,Technical Support
My application keeps crashing on startup.,Technical Support
<p>I am NOT happy. Password reset link is not working for me.</p>,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
I get a blank screen after the update.,Technical Support
The app shows error code 500 when I save.,Technical Support
I am NOT happy. I get a blank screen after the update.,Technical Support
I am NOT happy. The app shows error code 500 when I save.,Technical Support
I get a blank screen after the update. Order #12345,Technical Support
My application keeps crashing on startup.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
My application keeps crashing on startup.,Technical Support
Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
I get a blank screen after the update.,Technical Support
<p>I can't log in even with the right password.</p>,Technical Support
My application keeps crashing on startup. Visit http://example.com for details.,Technical Support
My application keeps crashing on startup.,Technical Support
I can't log in even with the right password. Visit http://example.com for details.,Technical Support
The app shows error code 500 when I save.,Technical Support
I am NOT happy. Password reset link is not working for me.,Technical Support
The app shows error code 500 when I save.,Technical Support
Password reset link is not working for me. Visit http://example.com for details.,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
I can't log in even with the right password.,Technical Support
<p>The app shows error code 500 when I save.</p>,Technical Support
My application keeps crashing on startup. Order #12345,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
I am NOT happy. Password reset link is not working for me.,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
<p>I get a blank screen after the update.</p>,Technical Support
Password reset link is not working for me. Visit http://example.com for details.,Technical Support
I am NOT happy. Password reset link is not working for me.,Technical Support
Password reset link is not working for me.,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
I get a blank screen after the update. Visit http://example.com for details.,Technical Support
I get a blank screen after the update. Order #12345,Technical Support
The app shows error code 500 when I save.,Technical Support
The app shows error code 500 when I save.,Technical Support
My application keeps crashing on startup.,Technical Support
I am NOT happy. I can't log in even with the right password.,Technical Support
I want to cancel my subscription immediately.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
"<p>I no longer need this service, cancel my account.</p>",Account Cancellation
I want to cancel my subscription immediately. Visit http://example.com for details.,Account Cancellation
Please close my account and refund the remaining period. Order #12345,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I am NOT happy. How do I delete my account?,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
How do I delete my account?,Account Cancellation
I want to cancel my subscription immediately. Visit http://example.com for details.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I am NOT happy. How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded. Order #12345,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded. Visit http://example.com for details.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I am NOT happy. Please close my account and refund the remaining period.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account.",Account Cancellation
How do I delete my account? Visit http://example.com for details.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded. Visit http://example.com for details.,Account Cancellation
I am NOT happy. Please close my account and refund the remaining period. Visit http://example.com for details.,Account Cancellation
"I no longer need this service, cancel my account. Order #12345",Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
<p>Please close my account and refund the remaining period.</p>,Account Cancellation
How do I delete my account?,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
<p>Please close my account and refund the remaining period.</p>,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately. Order #12345,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account. !!!",Account Cancellation
I want to stop my subscription and be refunded. Order #12345,Account Cancellation
How do I delete my account? Order #12345,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
<p>Please close my account and refund the remaining period.</p>,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded. !!!,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
How do I delete my account? Visit http://example.com for details.,Account Cancellation
How do I delete my account?,Account Cancellation
I am NOT happy. I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
<p>I am NOT happy. Please close my account and refund the remaining period.</p>,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
How do I delete my account?,Account Cancellation
"I no longer need this service, cancel my account. Order #12345",Account Cancellation
I am NOT happy. How do I delete my account?,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
<p>How do I delete my account?</p>,Account Cancellation
"I no longer need this service, cancel my account. Visit http://example.com for details.",Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account.",Account Cancellation
How do I delete my account?,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
How do I delete my account?,Account Cancellation
How do I delete my account?,Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account.",Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
"I am NOT happy. I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
Please close my account and refund the remaining period.,Account Cancellation
"I no longer need this service, cancel my account.",Account Cancellation
I want to stop my subscription and be refunded. !!!,Account Cancellation
I am NOT happy. Please close my account and refund the remaining period. Visit http://example.com for details.,Account Cancellation
I am NOT happy. How do I delete my account? Visit http://example.com for details.,Account Cancellation
How do I delete my account?,Account Cancellation
I want to stop my subscription and be refunded.,Account Cancellation
I want to cancel my subscription immediately.,Account Cancellation
I am NOT happy. I want to stop my subscription and be refunded.,Account Cancellation
